Linneweber, V.
Häger, Ch. Dönges
Kindermann, J.
Würth, G.
Lang, T.
Jäckel, U.
Nadler, A.
Klaudius, A.
Ramge, P.
Habermehl, S.
Griffiths, R.B.
Lütkemeier, S.
Dehio, J.
Siebe, T.
Hutjes, R.
Kabat, P.
Gabowitsch, E.
Siebe, Th.
Block, A. Lammel
Svirejeva-Hopkins, A.
Svirezhev, Y. M.
Logofet, D. O.
Cramer, W.P.
Fleischmann, R.
Geisel, T.
Ketzmerick, R.
Petschel, G.
Nasilowski, R.
Goutorbe, J.P.
Dolman, A.J.
Gash, J.H.C
Masing, V.
Szegi-Toth, F.
Kücken, M.
Büttner, S.
Thiemann, H.
Carius, A.
Kemper, M.
Oberthür, S.
Szegi-T¢th, F.
Eliseev, A.
Kubatzki, C.
Fleischmann, K.
Krabec, J. Nitschke
Olendrzynski, K.
Shaw, R.W.
Schättler, U.
Lutz, W.
Baguant, J.
Prinz, C.
Wills, A.B.
Werner, P. C.
Denisenko, E.
Schuster, C.
Hill, M.O.
Thompson, A.G.
Wright, S.M.
Holten, J.I. Cramer
French, D.D.
Scott, D.
Welch, D.
Borel, J.-L.
Ozenda, P.
Pautou, G.
Richard, L.
Spada, F.
Allen, J.R.M.
Rokey, R.R.
Fleckenstein, J.
Weber, E.
Wiegleb, G.
Sievaenen, R.
Pretzsch, H.
Faivre, R.
Smit, M.J.
Goosen, H.
Hulsbergen, C.H.
Tenno, K.
Steffen, W.L.
Plate, E.J .
Prince, S.D.
Olson, R.J.
Juhle, Y.
Guyot, G.
Gu, X.-F.
Gu‚rif, M. Delecolle
Baret, F.
Vollmer, S.
Ihringer, J.
England, M.H.
Gayler, V.
Sterr, H.
Ittekkot, V.
Marotzke, J.
Willebrand, J.
Roeckner, E.
Arpe, K.
Bengtsson, L.
Christoph, M. Claussen
Dümenil, L.
Esch, M.
Giorgetta, M.
Schulzweida, U.
Emanuel, W.R.
Martin, Ph. Parton
Prentice, I.C.
Smith, T.M.
Schriewer, D.
v. Storch,  H.
Schmitz, G.
Denisenko, E.A.
Bronstert, A
Solomon, A.M.
Koelle, B.
Smit, B.
Burton, I.
Wandel, J.
Lurin, B.
Rasool, S.I.
Kubatzki, C. Petoukhov
Schlegel, T.
Schroff, K.
v. Storch,  J.X.
Schnur, R.
Scurlock, J.M.O.
Parton, W.J. Prince
Diepenbrock, W.
Schlamadinger, B.
Spitzer, J.
Jørgensen, S. E.
Dönges, S.
Kindermann, J. Badeck
Jaekel, U.
Lenz, R.J.M.
Müller, A.
Häger, C.
Wuerth, G.
Kappertz, P.
Mirschel, M.
Wenkel, K.-O.
Ascroft, D.R.
Berry, P.M.
Cramer, W.P. McDonald
Prince, S.D. Parton
Wall, G.W. Garcia
Gyalistras, D.
van Minnen,  J.G.
Cane, M.A.
B rdossy, A.
Merz, B.
Solomon, A.
Hüttl, R.F.
Seiler, W.
Gornaja, L.
Venevsky, S.
Field, C.B.
Rachko, P.
Kratz, W.
Fosberg, M.A.
Müller, D.I.
Wohlfeil, I.C.
Christophersen, N.
Hauhs, M. Seip
Oesterle, H.
Petschel- Held,  G.
Matthäus, E.
Kossacki, K.
Garcia, R.L. Kimball
Ebert, B.
Fernandez, E.
Eldred, W. D.
Ammermüller, J.
Kolb, H.
Bateman, I.J.
Sterflinger, K.
Grote, G.
