id,label,id_prop_instance_of
id_keyword_0,integration,id_base_main_subject
id_keyword_1,biosphere feedbacks,id_base_main_subject
id_keyword_2,humanity,id_base_main_subject
id_keyword_3,root data,id_base_main_subject
id_keyword_4,macroscale modelling gewex,id_base_main_subject
id_keyword_5,conservation laws,id_base_main_subject
id_keyword_6,recurrence plot,id_base_main_subject
id_keyword_7,water scarcity,id_base_main_subject
id_keyword_8,climate impacts,id_base_main_subject
id_keyword_9,landwirtschaft,id_base_main_subject
id_keyword_10,hydrologische modellierung,id_base_main_subject
id_keyword_11,history,id_base_main_subject
id_keyword_12,political science,id_base_main_subject
id_keyword_13,regime effectiveness,id_base_main_subject
id_keyword_14,leitplankenansatz,id_base_main_subject
id_keyword_15,spatiotemporal coherence resonance,id_base_main_subject
id_keyword_16,data,id_base_main_subject
id_keyword_17,ökologisches risikomanagement,id_base_main_subject
id_keyword_18,verdunstung,id_base_main_subject
id_keyword_19,klimapolitik kopenhagen wbgu,id_base_main_subject
id_keyword_20,tide gauge,id_base_main_subject
id_keyword_21,guard-rail approach,id_base_main_subject
id_keyword_22,waldwachstum,id_base_main_subject
id_keyword_23,energy optimization,id_base_main_subject
id_keyword_24,bio-geophysical feedbacks paleoclimates,id_base_main_subject
id_keyword_25,interpolation,id_base_main_subject
id_keyword_26,seasonal impact,id_base_main_subject
id_keyword_27,vulnerability,id_base_main_subject
id_keyword_28,cluster analysis,id_base_main_subject
id_keyword_29,global climate change,id_base_main_subject
id_keyword_30,energy-economy model,id_base_main_subject
id_keyword_31,catastrophic climate change,id_base_main_subject
id_keyword_32,validierung nordostbrasilien,id_base_main_subject
id_keyword_33,ipcc technical guidelines,id_base_main_subject
id_keyword_34,antarctic temperatures,id_base_main_subject
id_keyword_35,forest growth modelling,id_base_main_subject
id_keyword_36,system theory,id_base_main_subject
id_keyword_37,lateral flows,id_base_main_subject
id_keyword_38,european forest carbon balance,id_base_main_subject
id_keyword_39,decision-making,id_base_main_subject
id_keyword_40,albedo,id_base_main_subject
id_keyword_41,open access,id_base_main_subject
id_keyword_42,environmental policy,id_base_main_subject
id_keyword_43,swot analysis,id_base_main_subject
id_keyword_44,modelle,id_base_main_subject
id_keyword_45,north atlantic deep convection,id_base_main_subject
id_keyword_46,global change,id_base_main_subject
id_keyword_47,wastor,id_base_main_subject
id_keyword_48,policy response,id_base_main_subject
id_keyword_49,issn 0119-11449,id_base_main_subject
id_keyword_50,international negotiations,id_base_main_subject
id_keyword_51,carbon isotopes,id_base_main_subject
id_keyword_52,extrasolar planets,id_base_main_subject
id_keyword_53,remote sensing,id_base_main_subject
id_keyword_54,expanded downscaling,id_base_main_subject
id_keyword_55,stormwater overflow tanks,id_base_main_subject
id_keyword_56,gesellschaftsvertrag,id_base_main_subject
id_keyword_57,climate and land use changes,id_base_main_subject
id_keyword_58,letzter aufruf: 16.07.2012,id_base_main_subject
id_keyword_59,evolution,id_base_main_subject
id_keyword_60,data archaeology,id_base_main_subject
id_keyword_61,simulation,id_base_main_subject
id_keyword_62,8.2 ka event,id_base_main_subject
id_keyword_63,vegetation classes syndrome,id_base_main_subject
id_keyword_64,emissions trading,id_base_main_subject
