id,label,id_prop_instance_of
id_creator_0,"Litchman, E.",id_base_creator;id_base_author
id_creator_1,"Sitch, S.",id_base_creator;id_base_author
id_creator_10495,"Bismuth, C.",id_base_creator;id_base_author;id_base_editor
id_creator_3,"Lindenmayer, D. B.",id_base_creator;id_base_author
id_creator_4,"Tijardovic, M.",id_base_creator;id_base_author
id_creator_5,"Lüdeke, M. K. B",id_base_creator;id_base_author
id_creator_6,"Mischaikow, K.",id_base_creator;id_base_author
id_creator_7,"Doll, C.",id_base_creator;id_base_author
id_creator_10500,"Oyebande, L.",id_base_creator;id_base_author;id_base_editor
id_creator_9,"Kropp, J. Lammel",id_base_creator;id_base_author
id_creator_10,"Kröwer, S.",id_base_creator;id_base_author
id_creator_11,"Brand, K.W.",id_base_creator;id_base_author
id_creator_12,"Harrison, S. P.",id_base_creator;id_base_author
id_creator_13,"O'Leary, G. J.",id_base_creator;id_base_author
id_creator_14,"Kohlmaier, L.",id_base_creator;id_base_author
id_creator_15,"Zeng, Z.",id_base_creator;id_base_author
id_creator_16,"Nardoto, G. B.",id_base_creator;id_base_author
id_creator_17,"Holland, D. M.",id_base_creator;id_base_author
id_creator_18,"Dhakal, S.",id_base_creator;id_base_author
id_creator_19,"Schönfelder, J.",id_base_creator;id_base_author
id_creator_20,"Pahle, M.",id_base_creator;id_base_author
id_creator_21,"Lee, A.",id_base_creator;id_base_author
id_creator_22,"Christophersen, N.",id_base_creator;id_base_author
id_creator_23,"Yang, X. S.",id_base_creator;id_base_author
id_creator_24,"Fleischmann, K.",id_base_creator;id_base_author
id_creator_25,"Schaaf, C.B.",id_base_creator;id_base_author
id_creator_26,"Härter, J. O.",id_base_creator;id_base_author
id_creator_27,"Kruhlov, I.",id_base_creator;id_base_author
id_creator_28,"Marcott, S. A.",id_base_creator;id_base_author
id_creator_29,"Gongadze, K.",id_base_creator;id_base_author
id_creator_30,"Paz, H.",id_base_creator;id_base_author
id_creator_31,"Malpede, D.",id_base_creator;id_base_author
id_creator_32,"Jouvet, G.",id_base_creator;id_base_author
id_creator_33,"Donner, R.V.",id_base_creator;id_base_author
id_creator_34,"Tobias, K.",id_base_creator;id_base_author
id_creator_35,"Pastor, A. V.",id_base_creator;id_base_author
