id,label,id_prop_instance_of,id_prop_publication_type,id_prop_author,id_prop_editor,id_prop_publisher,id_prop_place_of_publication,id_prop_series,id_prop_pages,id_prop_title,id_prop_issue,id_prop_volume,id_prop_publication_date,id_prop_reference_URL,id_prop_keyword,id_prop_journal,id_prop_conference
id_work_5189,Predicting potential European bison habitat across its former range,id_base_work,id_type_isi_article,id_creator_22725;id_creator_19299;id_creator_19291;id_creator_18119;id_creator_18120;id_creator_18121;id_creator_18122;id_creator_18123;id_creator_18124;id_creator_23536;id_creator_18126;id_creator_18069,,,,,830-843,,,21,2011,,,id_journal_105,
id_work_5190,Impacts of surface gold mining on land use systems in Western Ghana,id_base_work,id_type_isi_article,id_creator_31757;id_creator_22725;id_creator_18072,,,,,528-539,,5,40,2011,,,id_journal_126,
id_work_5191,Carbon implications of forest restitution in post-socialist Romania,id_base_work,id_type_isi_article,id_creator_18098;id_creator_22725;id_creator_19301;id_creator_19294;id_creator_18077;id_creator_19302;id_creator_18079;id_creator_18103;id_creator_18081;id_creator_18082,,,,,,,045202,6,2011,,,id_journal_472,
id_work_5192,Differences in Landsat-based trend analyses in drylands due to the choice of vegetation estimate,id_base_work,id_type_isi_article,id_creator_18083;id_creator_22725;id_creator_18085;id_creator_18086;id_creator_27244,,,,,1408-1420,,6,115,2011,,,id_journal_85,
id_work_5193,Patterns and drivers of post-socialist farmland abandonment in Western Ukraine,id_base_work,id_type_isi_article,id_creator_19242;id_creator_22725;id_creator_18090;id_creator_19231;id_creator_19723;id_creator_19253;id_creator_23538;id_creator_18095;id_creator_27244,,,,,552-562,,3,28,2011,,,id_journal_682,
id_work_5194,"Post-Soviet farmland abandonment, forest recovery, and carbon sequestration in western Ukraine",id_base_work,id_type_isi_article,id_creator_22725;id_creator_18098;id_creator_18099;id_creator_19242;id_creator_19289;id_creator_18102;id_creator_18103;id_creator_27244;id_creator_18105;id_creator_19723,,,,,1335-1349,,3,17,2011,,,id_journal_2,
id_work_5195,Cost-effectiveness of different conservation strategies to establish a European bison metapopulation in the Carpathians,id_base_work,id_type_isi_article,id_creator_22725;id_creator_19291;id_creator_18109;id_creator_18110;id_creator_18111;id_creator_18124;id_creator_18121;id_creator_19223;id_creator_19723,,,,,317-329,,2,48,2011,,,id_journal_683,
id_work_5196,Predicting potential European bison habitat across its former range,id_base_work,id_type_isi_article,id_creator_22725;id_creator_19723;id_creator_19291;id_creator_18119;id_creator_18120;id_creator_18121;id_creator_18122;id_creator_18123;id_creator_18124;id_creator_23536;id_creator_18126;id_creator_19223,,,,,830-843,,3,21,2011,,,id_journal_105,
id_work_5197,The geometry of chaotic dynamics - a complex network perspective,id_base_work,id_type_isi_article,id_creator_36846;id_creator_41648;id_creator_36848;id_creator_36845;id_creator_41863;id_creator_41659,,,,,653-672,,4,84,2011,,,id_journal_705,
id_work_5198,A functional framework for agent-based models of exchange,id_base_work,id_type_isi_article,id_creator_35559;id_creator_21499;id_creator_35561;id_creator_35574;id_creator_23905;id_creator_21498;id_creator_31210,,,,,4025-4040,,8,218,2011,,,id_journal_224,
id_work_5199,Case Study North Rhine-Westphalia (NRW),id_base_work,id_type_report,id_creator_36715;id_creator_39348;id_creator_31236;id_creator_29766;id_creator_21048;id_creator_18146,,id_publisher_755,id_place_42,id_series_614,,,,,2011,,,,
id_work_5200,Risk of severe climate change impacts on the terrestrial biosphere,id_base_work,id_type_isi_article,id_creator_20998;id_creator_36986;id_creator_40655;id_creator_36513,,,,,,,,6,2011,http://iopscience.iop.org/1748-9326/6/3/034036/pdf/1748-9326_6_3_034036.pdf,,id_journal_472,
id_work_5201,The effect of oil price increases on agricultural trade: Simulations with a global landuse model,id_base_work,id_type_conference_paper,id_creator_34553;id_creator_36985;id_creator_40970;id_creator_29892,,,id_place_405,,,Change and Uncertainty,,,2011,,,,id_conference_283
id_work_5202,Glossar Klimawandel und Raumentwicklung,id_base_work,id_type_report,id_creator_41386;id_creator_23711;id_creator_18157;id_creator_23712;id_creator_38865;id_creator_23702;id_creator_23714;id_creator_23716;id_creator_18163;id_creator_23718;id_creator_18165;id_creator_23719;id_creator_41388;id_creator_23721;id_creator_23722;id_creator_41539;id_creator_41387;id_creator_23709,,id_publisher_621,id_place_278,id_series_615,,,,,2011,http://shop.arl-net.de/glossar-klimawandel-raumentwicklung.html,,,
id_work_5203,Potential effects of climate change on inundation patterns in the Amazon basin,id_base_work,id_type_isi_article,id_creator_36035;id_creator_18174;id_creator_40655;id_creator_31590;id_creator_35607;id_creator_41326,,,,,2247-2262,,6,17,2013,,,id_journal_138,
id_work_5204,Bistable systems with stochastic noise: virtues and limits of effective one-dimensional Langevin equations,id_base_work,id_type_isi_article,id_creator_18179;id_creator_18180;id_creator_35947,,,,,9-22,,1,19,2012,,,id_journal_348,
id_work_5205,Avoiding the avoidable: towards a European heat waves risk governance,id_base_work,id_type_other_article,id_creator_41488;id_creator_31709;id_creator_33661;id_creator_31210,,,,,1-14,,1,2,2011,,id_keyword_1429,id_journal_695,
id_work_5206,"The role of orbital forcing, carbon dioxide and regolith in 100 kyr glacial cycles",id_base_work,id_type_isi_article,id_creator_35948;id_creator_35721,,,,,1415-1425,,4,7,2011,,,id_journal_379,
id_work_5207,Greenland ice sheet model parameters constrained using simulations of the Eemian Interglacial,id_base_work,id_type_isi_article,id_creator_35119;id_creator_35721;id_creator_35948,,,,,381-396,,2,7,2011,,,id_journal_379,
id_work_5208,Avoiding the Avoidable: Towards a European Heat Waves Risk Governance,id_base_work,id_type_article_in_book,id_creator_41488;id_creator_31709;id_creator_33661;id_creator_40703,id_creator_40659;id_creator_40703;id_creator_40661,id_publisher_36,id_place_21,id_series_616,119-144,Integrated Risk Governance,,,2013,,,,
id_work_5209,Weißnasensyndrom in Nordamerika - Pilzbesiedlung in Europa,id_base_work,id_type_other_article,id_creator_18195;id_creator_41863;id_creator_18197,,,,,172-179,,3-4,16,2011,,id_keyword_1416,id_journal_689,
id_work_5210,Palaeoclimate: the past is not the future,id_base_work,id_type_isi_article,id_creator_35948;id_creator_35119,,,,,662-663,,10,4,2011,,,id_journal_641,
id_work_5211,Heinrich event 1: an example of dynamical ice-sheet reaction to oceanic changes,id_base_work,id_type_isi_article,id_creator_18200;id_creator_32488;id_creator_18202;id_creator_34659;id_creator_18204;id_creator_18205;id_creator_18206;id_creator_18207;id_creator_35948,,,,,1297-1306,,4,7,2011,,,id_journal_379,
id_work_5212,Glacial CO2 cycle as a succession of key physical and biogeochemical processes,id_base_work,id_type_isi_article,id_creator_35312;id_creator_35948;id_creator_28239;id_creator_34664,,,,,251-264,,1,8,2012,,,id_journal_379,
