id,label,id_prop_instance_of
id_creator_134,"Montzka, S.A.",id_base_author
id_creator_135,"Medlyn, B.",id_base_author
id_creator_136,"Shutkin, W.",id_base_author
id_creator_137,"Hauschild, M.Z.",id_base_author
id_creator_138,"Xu, W.",id_base_author
id_creator_139,"Frör, O.",id_base_author
id_creator_140,"Avril, B.",id_base_author
id_creator_141,"Battle, M.",id_base_author
id_creator_142,"Peerlings, J.",id_base_author
id_creator_143,"N., M.",id_base_author
id_creator_144,"William, L.",id_base_author
id_creator_145,"Rossby, T.",id_base_author
id_creator_146,"Grieco, E.",id_base_author
id_creator_147,"Best, M.",id_base_author
id_creator_148,"Frumhoff, P.",id_base_author
id_creator_149,"Yu, Z.",id_base_author
id_creator_150,"Schlenther, C.",id_base_author
id_creator_10149,"Belykh, I.",id_base_author;id_base_editor
id_creator_152,"Blumenthal, I.",id_base_author
id_creator_153,"Tong, J.",id_base_author
id_creator_154,"Ludwig, P.",id_base_author
id_creator_155,"Nathwani, J.",id_base_author
id_creator_156,"Snizhko, S.",id_base_author
id_creator_157,"Viney, N.R.",id_base_author
id_creator_158,"Klein, A.M.",id_base_author
id_creator_159,"Prietzel, J.",id_base_author
id_creator_160,"Savonis, M.",id_base_author
id_creator_161,"Davies, E.",id_base_author
id_creator_162,"Rafaty, R.",id_base_author
id_creator_163,"Kleidon, A.",id_base_author
id_creator_164,"Liu, S.",id_base_author
id_creator_165,"Mougin, E.",id_base_author
id_creator_166,"Sievanen, R.",id_base_author
id_creator_167,"Kissock, J.K.",id_base_author
id_creator_168,"Koskova, R.",id_base_author
id_creator_169,"Oehme, R.",id_base_author
id_creator_170,"Beamish, R.",id_base_author
id_creator_171,"Ripoche-Wachter, D.",id_base_author
id_creator_172,"Wendland, F.",id_base_author
id_creator_173,"Hein, M.",id_base_author
id_creator_174,"Schoenberg, W.",id_base_author
id_creator_175,"Roesch, A.",id_base_author
id_creator_176,"Cadule, P.",id_base_author
id_creator_177,"Józefczyk, D.",id_base_author
id_creator_178,"Ott, K.",id_base_author
id_creator_179,"Bell, C.",id_base_author
id_creator_180,"Mazzer, L.",id_base_author
id_creator_181,"Köhler, C.",id_base_author
id_creator_182,"Zimmermann, K.",id_base_author
id_creator_183,"Gutiérrez-Negrín, L.",id_base_author
id_creator_184,"Schwartz, J.",id_base_author
id_creator_185,"Junge, S.",id_base_author
id_creator_186,"Stokman, F.",id_base_author
id_creator_187,"Richard, P.J.H.",id_base_author
id_creator_188,"Dehn, M.",id_base_author
id_creator_189,"Simon, A.A.",id_base_author
id_creator_190,"Jia, Y.B.",id_base_author
id_creator_191,"Knaus, M.",id_base_author
id_creator_192,"Wu, J.",id_base_author
id_creator_193,"Berezowski, T.",id_base_author
id_creator_194,"Wahl, A.",id_base_author
id_creator_195,"Schlosser, P.",id_base_author
id_creator_196,"Bierkens, M.F.P.",id_base_author
id_creator_197,"Benestad, R.",id_base_author
id_creator_198,"Southon, J.",id_base_author
id_creator_199,"H. J., S.",id_base_author
id_creator_200,"Humpert, S.",id_base_author
id_creator_201,"Matović, B.",id_base_author
id_creator_202,"Reichenau, T.",id_base_author
id_creator_203,"Buckley, E.N.",id_base_author
id_creator_204,"Nelson, P.",id_base_author
id_creator_205,"Wang-Erlandsson, L.",id_base_author
id_creator_206,"Hantson, S.",id_base_author
id_creator_207,"Hoermann, G.I.",id_base_author
id_creator_208,"Simard, S.",id_base_author
id_creator_209,"Khairulin, M.",id_base_author
id_creator_210,"Thomas F., S.",id_base_author
id_creator_211,"Awe, J.",id_base_author
id_creator_212,"Mima, S.",id_base_author
id_creator_213,"Azar, C.",id_base_author
id_creator_214,"Müller-Hansen, F.",id_base_author
id_creator_215,"Sharif, B.",id_base_author
id_creator_216,"Williges, K.",id_base_author
id_creator_217,"Svirzhev, Y.",id_base_author
id_creator_218,"Kehoe, L.",id_base_author
id_creator_10196,"ORiordan, T.",id_base_author;id_base_editor
id_creator_220,"Grote, R.",id_base_author
id_creator_221,"Tuenter, E.",id_base_author
id_creator_222,"Schietti, J.",id_base_author
id_creator_223,"Meira de Souza, W.",id_base_author
id_creator_224,"Talockaite, E.",id_base_author
id_creator_225,"Eklundh, L.",id_base_author
id_creator_226,"Desanker, P.V.",id_base_author
id_creator_227,"Gernaat, D.",id_base_author
id_creator_228,"Loew, A.",id_base_author
id_creator_10214,"Beniston, M.",id_base_author;id_base_editor
id_creator_230,"Kumar Dana, S.",id_base_author
id_creator_231,"Bodin, P.",id_base_author
id_creator_232,"Miglietta, F.",id_base_author
id_creator_233,"Kruhlov, I.",id_base_author
id_creator_234,"Chavez, A.",id_base_author
id_creator_235,"Schlichter, A.",id_base_author
id_creator_236,"Shiau, Y.H.",id_base_author
id_creator_237,"Pristova, T.",id_base_author
id_creator_238,"Gockel, H.A.",id_base_author
id_creator_10227,"Sirocko, F.",id_base_author;id_base_editor
id_creator_240,"Duplessy, J.C.",id_base_author
