id,label,id_prop_instance_of,id_prop_author,id_prop_editor,id_prop_publisher,id_prop_place_of_publication,id_prop_part_of_the_series,id_prop_number_of_pages,id_prop_publication_date,id_prop_main_subject,id_prop_published_in,id_prop_issue,id_prop_volume
id_work_5128,Environmental decision support systems (EDSS) development - challenges and best practices,id_base_article,id_creator_268;id_creator_3220;id_creator_6729;id_creator_9841;id_creator_705;id_creator_4459;id_creator_9365;id_creator_4691;id_creator_2579;id_creator_10648;id_creator_1544;id_creator_4499;id_creator_2503;id_creator_6471;id_creator_2678;id_creator_442;id_creator_9132;id_creator_2186;id_creator_7006;id_creator_9949;id_creator_5659;id_creator_8129;id_creator_7534;id_creator_6445;id_creator_9145;id_creator_11413;id_creator_11223,,,,,1389-1402,2011,,id_journal_352,12,26
id_work_5129,Climate Change as a Global Challenge - and its Implications for Knowledge Generation and Dissemination,id_base_chapter,id_creator_9440;id_creator_11104,id_creator_10168,id_publisher_606,id_place_21,id_series_602,795-820,2012,,,,
id_work_5130,"Climate change adaptation and sustainable regional development: a case study for the Federal State of Brandenburg, Germany",id_base_article,id_creator_3606;id_creator_7418;id_creator_2736;id_creator_11168;id_creator_11863;id_creator_11879;id_creator_11860;id_creator_4694;id_creator_5483;id_creator_10162;id_creator_10204;id_creator_10006,,,,,523-542,2012,,id_journal_290,3,12
id_work_5131,Aus dem Physiklabor auf die internationale Agenda,id_base_article,id_creator_3913,,,,,7-13,2011,,id_journal_725,,141
id_work_5132,Global temperature evolution 1979-2010,id_base_article,id_creator_7661;id_creator_3913,,,,,,2011,,id_journal_493,044022,6
id_work_5133,Increase of extreme events in a warming world,id_base_article,id_creator_3913;id_creator_6505,,,,,17905-17909,2011,,id_journal_444,44,108
id_work_5134,Climate related sea-level variations over the past two millennia.,id_base_article,id_creator_5996;id_creator_7153;id_creator_2032;id_creator_5743;id_creator_8254;id_creator_3913,,,,,,2011,,id_journal_444,,
id_work_5135,Reply to Grinsted et al.: Estimating land subsidence in North Carolina - [Letter],id_base_article,id_creator_5996;id_creator_7153;id_creator_2032;id_creator_5743;id_creator_8254;id_creator_3913,,,,,,2011,,id_journal_444,044022,108
id_work_5136,Testing the robustness of semi-empirical sea level projections,id_base_article,id_creator_3913;id_creator_60;id_creator_8254,,,,,861-875,2012,,id_journal_49,,39
id_work_5137,Tipping Points in the Earth System and their Implications for World Politics and Economy,id_base_chapter,id_creator_10405;id_creator_3913;id_creator_10514,id_creator_11533;id_creator_10405;id_creator_11820;id_creator_10657,id_publisher_607,id_place_399,,63-80,2010,,,,
id_work_5138,Additional CO2 emissions from land use change - forest conservation as a precondition for sustainable production of second generation bioenergy,id_base_article,id_creator_6605;id_creator_791;id_creator_9036;id_creator_10834;id_creator_11612;id_creator_722;id_creator_11331,,,,,64-70,2012,,id_journal_265,,74
id_work_5139,Der kälteste Juli des Jahrtausends,id_base_article,id_creator_3913,,,,,14-15,2011,id_keyword_170,id_journal_708,4/2011,
id_work_5140,Mit dem Risiko ist was faul,id_base_article,id_creator_3913,,,,,13-14,2011,,id_journal_708,3,4
id_work_5141,The Vanishing Arctic,id_base_epub,id_creator_3913,,id_publisher_608,id_place_1,,,2011,,,,
id_work_5142,Our summer of extremes,id_base_epub,id_creator_3913,,id_publisher_608,id_place_1,,,2010,,,,
id_work_5143,The Heat Age,id_base_epub,id_creator_3913,,id_publisher_608,id_place_1,,,2010,,,,
id_work_5144,Scenarios for phasing out nuclear energy in Germany,id_base_report,id_creator_10431;id_creator_3564;id_creator_6691;id_creator_665;id_creator_3260;id_creator_11769,,id_publisher_590,id_place_47,id_series_603,,2011,,,,
id_work_5145,Die Kosten des Atomausstiegs und die Herausforderungen der Energiewende,id_base_article,id_creator_10431;id_creator_6691;id_creator_11769,,,,,31-33,2011,id_keyword_170,id_journal_726,12,58
id_work_5146,Modellierung der Auswirkungen des Klimawandels auf die Flora und Vegetation in Deutschland,id_base_report,id_creator_999;id_creator_4174;id_creator_3489;id_creator_10109;id_creator_5356;id_creator_11392;id_creator_5375;id_creator_7182;id_creator_129;id_creator_3715;id_creator_10359,,id_publisher_215,id_place_47,id_series_604,,2011,,,,
id_work_5147,"Computerbilder, Visualisisierungsstrategien und Informationsdarstellung",id_base_chapter,id_creator_8686;id_creator_11507,id_creator_10553;id_creator_11529,id_publisher_272,id_place_400,,519-534,2011,,,,
id_work_5148,"Geoengineering: the good, the MAD, and the sensible",id_base_article,id_creator_11104,,,,,,2011,,id_journal_444,51,108
id_work_5149,Irrigation Water Scarcity and the Effectiveness of different Policy Options,id_base_chapter,id_creator_6576;id_creator_10834;id_creator_10436,id_creator_11550,id_publisher_609,id_place_296,,51-77,2011,,,,
id_work_5150,Managing Land and Water Resources,id_base_chapter,id_creator_8007;id_creator_10834;id_creator_10436,id_creator_11550,id_publisher_609,id_place_296,,124-133,2011,,,,
id_work_5151,A spatial mathematical model analysis of the linkage between agricultural trade and deforestation,id_base_confpaper,id_creator_6576;id_creator_10834,,,,,,2011,,,,
id_work_5152,Implementing bilateral trade in a global landuse model,id_base_confpaper,id_creator_3959;id_creator_3499;id_creator_10834;id_creator_6576,,,,,,2011,,,,
id_work_5153,"Increased agricultural trade and its impacts on food system, land-use and greenhouse gas emissions",id_base_confpaper,id_creator_6576;id_creator_3959;id_creator_10834;id_creator_6605,,,,,,2011,,,,
id_work_5154,Biosignal 2010: Advanced technologies in intensive care and sleep medicine : [Editorial],id_base_article,id_creator_11011;id_creator_11047;id_creator_10452;id_creator_10163,,,,,,2011,,id_journal_727,11,32
id_work_5155,Synchronization of chaotic systems with time-varying coupling delays,id_base_article,id_creator_7819;id_creator_3019;id_creator_11047,,,,,1071-1082,2011,id_keyword_408;id_keyword_219;id_keyword_259,id_journal_728,4,16
