id,label,id_prop_instance_of
id_keyword_0,rational choice,id_base_main_subject
id_keyword_1,public and social acceptance,id_base_main_subject
id_keyword_2,climate windows,id_base_main_subject
id_keyword_3,emission,id_base_main_subject
id_keyword_4,interest group,id_base_main_subject
id_keyword_5,forest decline,id_base_main_subject
id_keyword_6,nr. 25,id_base_main_subject
id_keyword_7,urban hydrology,id_base_main_subject
id_keyword_8,swot analysis,id_base_main_subject
id_keyword_9,modelle,id_base_main_subject
id_keyword_10,dark respiration,id_base_main_subject
id_keyword_11,policy,id_base_main_subject
id_keyword_12,g-econ,id_base_main_subject
id_keyword_13,model specification,id_base_main_subject
id_keyword_14,international policy,id_base_main_subject
id_keyword_15,philosophy of science,id_base_main_subject
id_keyword_16,scenarios,id_base_main_subject
id_keyword_17,discrimination,id_base_main_subject
id_keyword_18,planetary boundaries,id_base_main_subject
id_keyword_19,storm water treatment,id_base_main_subject
id_keyword_20,research methods,id_base_main_subject
id_keyword_21,upscaling climate change,id_base_main_subject
id_keyword_22,klimapolitik kopenhagen wbgu,id_base_main_subject
id_keyword_23,yangtze river,id_base_main_subject
id_keyword_24,forest growth modelling,id_base_main_subject
id_keyword_25,cortical networks,id_base_main_subject
id_keyword_26,politik,id_base_main_subject
id_keyword_27,cost-effectiveness,id_base_main_subject
id_keyword_28,environmental science,id_base_main_subject
id_keyword_29,water use,id_base_main_subject
id_keyword_30,earth system trajectories,id_base_main_subject
id_keyword_31,data,id_base_main_subject
id_keyword_32,social change,id_base_main_subject
id_keyword_33,regionalisierung,id_base_main_subject
id_keyword_34,second law analysis,id_base_main_subject
id_keyword_35,risk analysis,id_base_main_subject
id_keyword_36,satellite,id_base_main_subject
id_keyword_37,pattern formation,id_base_main_subject
id_keyword_38,long-term persistence,id_base_main_subject
id_keyword_39,european forest carbon balance,id_base_main_subject
id_keyword_40,regionalization,id_base_main_subject
id_keyword_41,fair division theory,id_base_main_subject
id_keyword_42,ice cores,id_base_main_subject
id_keyword_43,decadal variability,id_base_main_subject
id_keyword_44,international environmental treaties,id_base_main_subject
id_keyword_45,autokatalytische enteisenungsfiltration,id_base_main_subject
id_keyword_46,sewer system management,id_base_main_subject
id_keyword_47,adaptation,id_base_main_subject
id_keyword_48,policy international environmental agreements,id_base_main_subject
id_keyword_49,agenda 2000,id_base_main_subject
id_keyword_50,klimamodelle,id_base_main_subject
id_keyword_51,nitrogen,id_base_main_subject
id_keyword_52,water scarcity,id_base_main_subject
id_keyword_53,climate and land use changes,id_base_main_subject
id_keyword_54,environmental policy,id_base_main_subject
id_keyword_55,statistical physics,id_base_main_subject
id_keyword_56,wasserhaushalt,id_base_main_subject
id_keyword_57,ecological and hydrological interactions,id_base_main_subject
id_keyword_58,aciidifikation,id_base_main_subject
id_keyword_59,time series mining,id_base_main_subject
id_keyword_60,international environmental economics,id_base_main_subject
id_keyword_61,model uncertainty transboundary pollution,id_base_main_subject
id_keyword_62,gis,id_base_main_subject
id_keyword_63,interpolation meteorologischer eingangsdaten,id_base_main_subject
id_keyword_64,clustered synchronisation,id_base_main_subject
id_keyword_65,integrated assessments,id_base_main_subject
id_keyword_66,gis-kopplung von modellen,id_base_main_subject
id_keyword_67,global,id_base_main_subject
id_keyword_68,biosphere feedbacks,id_base_main_subject
id_keyword_69,ice sheet,id_base_main_subject
id_keyword_70,population,id_base_main_subject
id_keyword_71,linear order statistics,id_base_main_subject
id_keyword_72,hazards,id_base_main_subject
id_keyword_73,semiquantitative reasoning probability distributions,id_base_main_subject
id_keyword_74,carbon cycle,id_base_main_subject
id_keyword_75,cost-benefit analysis tolerable windows approach,id_base_main_subject
id_keyword_76,ordering,id_base_main_subject
id_keyword_77,dynamical systems,id_base_main_subject
id_keyword_78,virtual biospheres,id_base_main_subject
id_keyword_79,spatiotemporal coherence resonance,id_base_main_subject
id_keyword_80,earth systems,id_base_main_subject
id_keyword_81,semi-arid regions,id_base_main_subject
id_keyword_82,open source,id_base_main_subject
id_keyword_83,stochastic rainfall,id_base_main_subject
id_keyword_84,extreme ereignisse,id_base_main_subject
id_keyword_85,stormwater overflow tanks,id_base_main_subject
id_keyword_86,nachhaltiges wirtschaftswachstum,id_base_main_subject
id_keyword_87,geostatistics,id_base_main_subject
id_keyword_88,recurrence plots,id_base_main_subject
id_keyword_89,klimasystem,id_base_main_subject
id_keyword_90,fccc,id_base_main_subject
id_keyword_91,aerosols,id_base_main_subject
id_keyword_92,stoffstromsimulation,id_base_main_subject
id_keyword_93,agriculture,id_base_main_subject
id_keyword_94,open access,id_base_main_subject
id_keyword_95,klimaveränderungen,id_base_main_subject
id_keyword_96,waldwachstum,id_base_main_subject
id_keyword_97,coastal zones,id_base_main_subject
id_keyword_98,water conflict,id_base_main_subject
id_keyword_99,air pollution,id_base_main_subject
id_keyword_100,water balance,id_base_main_subject
id_keyword_101,continents climate change leopoldina,id_base_main_subject
id_keyword_102,climate models,id_base_main_subject
id_keyword_103,bodenfeuchte,id_base_main_subject
id_keyword_104,data archaeology,id_base_main_subject
id_keyword_105,local consumption,id_base_main_subject
id_keyword_106,geodynamics,id_base_main_subject
id_keyword_107,mountains,id_base_main_subject
id_keyword_108,atmospheric models,id_base_main_subject
id_keyword_109,lean-burn,id_base_main_subject
id_keyword_110,combustion instabilities,id_base_main_subject
id_keyword_111,impact response functions,id_base_main_subject
id_keyword_112,spatially extended chaos,id_base_main_subject
id_keyword_113,sea level rise,id_base_main_subject
id_keyword_114,global climate change,id_base_main_subject
id_keyword_115,international negotiations,id_base_main_subject
id_keyword_116,social metabolism,id_base_main_subject
id_keyword_117,umweltmonitoring,id_base_main_subject
id_keyword_118,anthropocene,id_base_main_subject
id_keyword_119,policy response,id_base_main_subject
id_keyword_120,erde,id_base_main_subject
id_keyword_121,energy optimization,id_base_main_subject
id_keyword_122,deposition,id_base_main_subject
id_keyword_123,inverse modelling,id_base_main_subject
id_keyword_124,climate change scenarios,id_base_main_subject
id_keyword_125,sustainability,id_base_main_subject
